iter	MultiClass
0	1.08816
1	1.078394008
2	1.069430266
3	1.06098802
4	1.053092953
5	1.045636335
6	1.038671934
7	1.032226772
8	1.02610218
9	1.020372917
10	1.014920944
11	1.009767362
12	1.004948864
13	1.000291296
14	0.9956069757
15	0.9912245548
16	0.9871739106
17	0.9831741986
18	0.979274597
19	0.9755568476
20	0.9718934276
21	0.9685748672
22	0.9654517401
23	0.9624177237
24	0.9594377934
25	0.9566015474
26	0.9537970853
27	0.9510672913
28	0.9484523862
29	0.9459670611
30	0.9435998304
31	0.9414596127
32	0.9392840038
33	0.9373155977
34	0.9352352428
35	0.9333905421
36	0.9314841228
37	0.929585946
38	0.9277604278
39	0.9260364057
40	0.9244715952
41	0.9230204159
42	0.9215141455
43	0.9198016341
44	0.9183908396
45	0.9170369044
46	0.915627207
47	0.9142973435
48	0.9130370174
49	0.9119483079
50	0.9108568882
51	0.9097194002
52	0.9086916523
53	0.9076458845
54	0.9066938518
55	0.9054917271
56	0.9044776976
57	0.9035743
58	0.902497385
59	0.9015618207
60	0.9007166098
61	0.8996153398
62	0.8987497894
63	0.8979425837
64	0.8971597216
65	0.8962440468
66	0.8955292018
67	0.8948293166
68	0.8941545938
69	0.8934031424
70	0.892662832
71	0.8918745668
72	0.8910840369
73	0.890486812
74	0.8897710511
75	0.8891346329
76	0.8885780862
77	0.8880637622
78	0.8875021694
79	0.8868039617
80	0.8862508523
81	0.8857356473
82	0.8853699826
83	0.8847215865
84	0.8841911218
85	0.8837028852
86	0.883140515
87	0.8826180512
88	0.882119607
89	0.8816879198
90	0.8811515525
91	0.8806093424
92	0.8801264023
93	0.8796796867
94	0.8791929928
95	0.8787698347
96	0.8782646828
97	0.8776351745
98	0.8771857357
99	0.8767789885
100	0.8763798646
101	0.8760342225
102	0.8755572317
103	0.8751426116
104	0.8748251652
105	0.8744757676
106	0.8740011424
107	0.873497802
108	0.8730674829
109	0.8725355203
110	0.8718982138
111	0.8714361579
112	0.8707124696
113	0.8701436753
114	0.8696478248
115	0.8690540056
116	0.8684767665
117	0.8677682996
118	0.8674594655
119	0.8669194227
120	0.8665547592
121	0.8662391216
122	0.8654372312
123	0.864992008
124	0.8646101109
125	0.8641429123
126	0.8635366823
127	0.8631105476
128	0.8626414771
129	0.8620079518
130	0.8615903573
131	0.861160933
132	0.860589361
133	0.8602726162
134	0.8599791502
135	0.8594559287
136	0.8591442748
137	0.858740481
138	0.8584251432
139	0.8580515605
140	0.8575770187
141	0.8572216177
142	0.8569698585
143	0.8566091146
144	0.8561776265
145	0.855608366
146	0.8553282293
147	0.8550049214
148	0.8546044153
149	0.8540499005
150	0.8535660515
151	0.8530791226
152	0.8527009659
153	0.8523540536
154	0.8518772316
155	0.8514466196
156	0.8509408803
157	0.8505498139
158	0.8502805616
159	0.8498578971
160	0.8493664429
161	0.849075719
162	0.8486924116
163	0.8484030545
164	0.8478835827
165	0.8475981646
166	0.8473290918
167	0.8470862235
168	0.8468290453
169	0.8464180472
170	0.8460339092
171	0.8457726018
172	0.8453932809
173	0.8449453998
174	0.8445987458
175	0.8443273908
176	0.8440050659
177	0.8437471931
178	0.843434873
179	0.8431264722
180	0.8429157195
181	0.8425844093
182	0.8421751981
183	0.8418318002
184	0.8416519772
185	0.8414066684
186	0.8410442187
187	0.8407843269
188	0.8404471463
189	0.8399698934
190	0.8397618598
191	0.8393776156
192	0.8391005143
193	0.838911724
194	0.8383454238
195	0.8380716422
196	0.8376661916
197	0.8372822019
198	0.8370416906
199	0.8367457879
200	0.8364021102
201	0.8361428752
202	0.8359103625
203	0.835511167
204	0.8352828082
205	0.8349148393
206	0.8347036948
207	0.8343653101
208	0.8341134018
209	0.8338470697
210	0.8335615421
211	0.8333509429
212	0.8330676731
213	0.8327919565
214	0.8325678727
215	0.8324153329
216	0.8321666402
217	0.8318208472
218	0.8315668618
219	0.8314712246
220	0.830907201
221	0.8305087706
222	0.8301509014
223	0.8299263222
224	0.8296973057
225	0.8294185236
226	0.8291984717
227	0.828832564
228	0.8285683473
229	0.828057808
230	0.8276823776
231	0.8273271774
232	0.8270028761
233	0.8268246322
234	0.8264926395
235	0.8261718504
236	0.8259478502
237	0.8256452018
238	0.8254519105
239	0.8251717105
240	0.8250424017
241	0.824828145
242	0.824579775
243	0.824278797
244	0.8240464744
245	0.8238690116
246	0.8235333647
247	0.8230781843
248	0.8226030771
249	0.822509995
250	0.8222268254
251	0.8219253129
252	0.8217398923
253	0.8215216456
254	0.8213718579
255	0.8212073555
256	0.8210034756
257	0.8208118032
258	0.8205552361
259	0.8203367158
260	0.8201334285
261	0.8199881807
262	0.8197796292
263	0.8195154923
264	0.8194282536
265	0.8191263983
266	0.8189036735
267	0.818557719
268	0.8184226976
269	0.8182033113
270	0.8178587249
271	0.8174665213
272	0.8172046159
273	0.8170464668
274	0.8167305976
275	0.8164783369
276	0.8161125067
277	0.8158044789
278	0.8154967623
279	0.8152731672
280	0.8149395799
281	0.8146374901
282	0.8142472478
283	0.8138468974
284	0.8135081677
285	0.8132457627
286	0.8131008456
287	0.8130004572
288	0.8127422246
289	0.8124793751
290	0.8121503889
291	0.81195348
292	0.811661116
293	0.8113834067
294	0.8110629487
295	0.8108026933
296	0.8106601639
297	0.8104827673
298	0.8103337647
