iter	Passed	Remaining
0	41	41720
1	66	33304
2	93	30998
3	120	29941
4	145	28886
5	171	28331
6	198	28172
7	226	28043
8	253	27909
9	280	27814
10	309	27822
11	334	27549
12	362	27551
13	391	27565
14	421	27702
15	450	27717
16	478	27682
17	527	28804
18	579	29931
19	648	31764
20	695	32415
21	748	33252
22	786	33404
23	815	33152
24	862	33652
25	966	36223
26	996	35898
27	1021	35465
28	1049	35130
29	1075	34777
30	1100	34385
31	1125	34054
32	1149	33679
33	1176	33427
34	1200	33091
35	1223	32773
36	1247	32463
37	1270	32163
38	1296	31938
39	1321	31714
40	1345	31473
41	1369	31245
42	1396	31075
43	1421	30880
44	1444	30659
45	1469	30473
46	1495	30332
47	1520	30158
48	1545	30003
49	1570	29844
50	1595	29690
51	1620	29547
52	1644	29386
53	1669	29243
54	1696	29142
55	1721	29013
56	1748	28919
57	1772	28795
58	1798	28689
59	1824	28589
60	1850	28488
61	1875	28367
62	1899	28254
63	1922	28123
64	1947	28013
65	1971	27904
66	1997	27809
67	2024	27750
68	2049	27658
69	2075	27575
70	2099	27470
71	2125	27398
72	2150	27309
73	2176	27241
74	2201	27157
75	2226	27069
76	2254	27021
77	2280	26956
78	2306	26887
79	2329	26794
80	2354	26718
81	2380	26650
82	2407	26597
83	2437	26583
84	2463	26517
85	2492	26486
86	2518	26429
87	2544	26368
88	2568	26293
89	2597	26259
90	2621	26189
91	2646	26123
92	2670	26045
93	2697	26001
94	2727	25985
95	2754	25937
96	2779	25870
97	2802	25792
98	2827	25734
99	2853	25678
100	2881	25646
101	2907	25600
102	2936	25570
103	2967	25568
104	2993	25517
105	3023	25498
106	3053	25484
107	3081	25451
108	3109	25417
109	3137	25387
110	3165	25350
111	3195	25334
112	3221	25289
113	3249	25251
114	3278	25227
115	3300	25150
116	3325	25097
117	3351	25047
118	3382	25041
119	3411	25019
120	3446	25033
121	3478	25036
122	3503	24979
123	3535	24978
124	3565	24956
125	3595	24938
126	3616	24857
127	3641	24807
128	3668	24770
129	3695	24728
130	3723	24697
131	3752	24678
132	3782	24658
133	3810	24629
134	3837	24585
135	3864	24551
136	3892	24517
137	3920	24491
138	3952	24481
139	3982	24461
140	4011	24439
141	4040	24413
142	4070	24397
143	4101	24382
144	4139	24411
145	4172	24408
146	4207	24417
147	4242	24422
148	4274	24412
149	4301	24375
150	4328	24338
151	4351	24278
152	4379	24243
153	4408	24219
154	4436	24186
155	4463	24148
156	4492	24122
157	4522	24102
158	4549	24061
159	4570	23995
160	4596	23952
161	4628	23942
162	4659	23928
163	4692	23918
164	4717	23875
165	4751	23872
166	4775	23818
167	4808	23812
168	4839	23794
169	4871	23782
170	4899	23751
171	4926	23715
172	4947	23651
173	4975	23617
174	5003	23586
175	5032	23561
176	5065	23551
177	5096	23537
178	5129	23525
179	5160	23507
180	5190	23484
181	5219	23459
182	5245	23417
183	5274	23391
184	5300	23350
185	5332	23335
186	5361	23311
187	5396	23309
188	5422	23268
189	5447	23224
190	5474	23186
191	5500	23146
192	5525	23103
193	5548	23053
194	5569	22991
195	5601	22976
196	5625	22928
197	5654	22904
198	5686	22887
199	5718	22875
200	5748	22852
201	5779	22830
202	5811	22815
203	5835	22769
204	5867	22755
205	5899	22738
206	5930	22717
207	5961	22698
208	5994	22685
209	6026	22669
210	6058	22653
211	6091	22641
212	6120	22612
213	6151	22593
214	6177	22555
215	6211	22544
216	6245	22534
217	6275	22511
218	6305	22486
219	6328	22437
220	6353	22394
221	6378	22353
222	6406	22323
223	6436	22299
224	6465	22270
225	6497	22251
226	6526	22223
227	6553	22188
228	6585	22173
229	6611	22132
230	6634	22085
231	6663	22059
232	6694	22036
233	6730	22032
234	6755	21991
235	6783	21960
236	6809	21923
237	6842	21908
238	6875	21890
239	6907	21873
240	6931	21831
241	6954	21783
242	6979	21743
243	7005	21705
244	7033	21674
245	7068	21666
246	7100	21646
247	7126	21609
248	7152	21571
249	7184	21553
250	7215	21530
251	7239	21487
252	7268	21460
253	7293	21421
254	7327	21408
255	7360	21392
256	7396	21383
257	7421	21345
258	7454	21326
259	7481	21294
260	7510	21264
261	7533	21220
262	7565	21199
263	7597	21181
264	7632	21170
265	7657	21130
266	7688	21108
267	7719	21084
268	7754	21073
269	7785	21050
270	7815	21025
271	7840	20985
272	7867	20951
273	7891	20909
274	7914	20865
275	7939	20826
276	7966	20792
277	7996	20768
278	8022	20731
279	8043	20683
280	8074	20659
281	8106	20640
282	8132	20605
283	8162	20577
284	8183	20530
285	8219	20518
286	8254	20506
287	8285	20483
288	8308	20441
289	8346	20435
290	8379	20415
291	8402	20372
292	8427	20335
293	8456	20307
294	8477	20260
295	8508	20236
296	8533	20199
297	8562	20171
298	8594	20150
